Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
OBRADOR DE JUANITO SL.,1071,U1,2022,1992.74690537794,29,ALCAUCIN,515.683136355418,496.030688806427,1011.71382516184,35.3299241231263,666.0124840532,1992.74690537794,20.2138521896362,20.2138521896362,40.157,1.998,0.712
ACEITUNAS SUROLIVA S.L.,1039,U1,2007,1992.44407065765,6,ALMENDRALEJO,1310.51289613747,475.896597534256,1786.40949367172,354.183942297821,1248.67274247276,1992.44407065765,61.9156723590088,40.8079470437622,21.322,2.284,3.79
COOP DE ACEITES DEL MATARRANA S.C.L.,1041,U1,2021,1991.88793057559,5,CALACEITE,591.301829827452,1117.19376067622,1708.49559050367,576.215163343906,786.839054935527,1991.88793057559,1.63916712098122,1.63916712098122,0.356,0.096,0.103
SAN SEBASTIAN DE BELVIS DE LA JARA S.COOP. DE C-LM,1041,U1,2001,1991.10291260771,4,BELVIS DE LA JARA,713.755380520411,1030.66040999011,1744.41579051052,372.594422935526,181.820896501622,1991.10291260771,5.77102977857471,5.77102977857471,2.358,0.331,0.441
BODEGA COOP DE CASTALLA COOP. V. DE CASTALLA,1041,U1,2016,1989.98324802345,6,CASTALLA,4166.70545395514,3254.07833455405,7420.78378850919,3113.35935861972,1559.79159478113,1989.98324802345,24.5007701594502,24.5007701594502,0.975,0.33,1.525
PIMENTON Y ESPECIAS DON SABOR SL.,1084,U1,2022,1987.2491396477,13,LORQUI,598.641410001033,989.721738305384,1588.36314830642,722.814335794353,243.217203941303,1987.2491396477,28.2726715485114,28.2726715485114,5.19,1.78,1.888
ECOLLAGENA SL.,1089,U1,2021,1986.24358296533,6,AGREDA,10807.9261878528,1209.07217773426,12016.998365587,1727.36035111485,6272.58774938607,1986.24358296533,1.61914274754524,1.61914274754524,0.114,0.013,0.099
CONSERVAS JABUGO SL,1013,U1,2021,1985.96985612302,12,SEVILLA,367.112999547386,1946.18654545913,2313.29954500651,864.699164728046,386.123684382176,1985.96985612302,21.4945905690908,21.4945905690908,3.314,0.929,1.443
CONSERVAS LA PIEDAD SA,1020,U1,2022,1985.46406701156,7,ILLESCAS,479.139198028761,1435.48995016314,1914.62914819191,739.771006466746,29.1473161934674,1985.46406701156,2.65237587682188,2.65237587682188,0.463,0.139,0.172
JAMONES GONZALEZ SL,1013,U1,2022,1982.19023694291,12,O CORGO,1141.57561931571,1516.0366530318,2657.61227234752,1222.1804198585,459.897913916498,1982.19023694291,3.83063873210549,3.83063873210549,0.349,0.144,0.215
ARDMURCIA SA,1039,U1,2022,1980.76423609108,21,MURCIA,2759.22345116369,102.747277927089,2861.97072909078,769.093607620114,372.929919484699,1980.76423609108,16.0636389188588,16.0636389188588,1.543,0.561,0.599
PAN DE ANGEL SL,1082,U1,2021,1980.58317508271,26,CIPEREZ,2019.90905113442,669.695383038783,2689.6044341732,1818.34638106463,611.980642373085,1980.58317508271,132.223520126438,132.223520126438,9.696,4.916,8.901
RETSE ALIMENTARIA SL.,1041,U1,2022,1979.65561258299,10,EL PINOS/PINOSO,367.814049701232,1422.58326440762,1790.39731410885,89.672058786422,496.464858794117,1979.65561258299,-65.3527798385203,-65.3527798385203,-96.499,-3.65,-4.371
MATAJO SL,1011,U1,2018,1979.29498817914,17,TOLEDO,78.5291088713098,308.675106493319,387.204215364629,101.672226933272,17.1750086545944,1979.29498817914,-19.5280420903027,-19.5280420903027,-19.829,-5.043,-1.019
SELLARES I BERENGUE SL,1072,U1,2022,1978.64880666204,40,BALSARENY,1532.90004957895,677.637255881774,2210.53730546072,128.669719901812,485.621989718396,1978.64880666204,4.44839182371497,4.44839182371497,4.772,0.201,0.31
GRUPO QUESOS CANAL SL.,1051,U1,2022,1977.77881345745,6,VALLADOLID,1075.13724385205,794.404056140464,1869.54129999251,293.831285411274,1472.67158699184,1977.77881345745,-386.258839979643,-386.258839979643,-131.456,-20.661,-19.53
SUCESORES DE ARTURO CARBONELL SL,1039,U1,2015,1975.35246168516,5,MOLINA DE SEGURA,33.6896889023495,754.671565323922,788.361254226271,293.706583913082,121.208926839147,1975.35246168516,10.7513038085365,10.7513038085365,3.661,1.364,0.544
AGRICOLA I SECCIO DE CREDIT DE RIUDOMS S.C.C.L.,1041,U1,2019,1975.04546324165,7,RIUDOMS,5412.94915432203,5187.62753128631,10600.5766856083,2114.5362031686,33.7019956111908,1975.04546324165,43.2935610941386,43.2935610941386,3.095,0.408,3.314
JAMONES ANTONIO MARTINEZ SL,1013,U1,2021,1974.10635492046,7,ASTORGA,366.333351473737,2766.46107141931,3132.79442289305,147.174512419152,1319.36426335301,1974.10635492046,-125.585157182336,-125.585157182336,-85.331,-4.009,-6.362
DULCES EL AVION SA,1082,U1,2022,1970.04325800488,22,LOGRONO,5302.26425164922,1913.25545337899,7215.51970502821,4090.16568213158,431.946778383118,1970.04325800488,124.495848387786,124.495848387786,4.059,1.725,8.427
EMBUTIDOS ARTESANOS DEL PUEBLO SOCIEDAD LIMITADA.,1013,U1,2022,1969.65419450955,13,HERENCIA,336.400849554908,403.622343694842,740.02319324975,326.001824524236,21.1862282791018,1969.65419450955,84.1560542049348,84.1560542049348,34.422,11.372,5.697
PASTAS FRESCAS LA NAPOLITANA SL,1073,U1,2022,1969.02166901503,13,A CORUNA,738.508301996577,732.68249292773,1471.19079492431,647.347547640413,579.759644578278,1969.02166901503,91.5099803606093,91.5099803606093,18.887,6.22,6.209
PASTISSERIA VINALLONGA SL,1071,U1,2022,1968.84579742541,21,MONTORNES DEL VALLES,324.273336057544,641.371700021553,965.645036079097,472.874461938506,36.3854203107119,1968.84579742541,3.39635035187185,3.39635035187185,1.132,0.352,0.272
JAMONES Y EMBUTIDOS TORRENTE SL,1013,U1,2021,1968.71068103371,22,MARIA,635.133099294233,1237.7291514317,1872.86225072594,21.5566457399368,1229.63699405894,1968.71068103371,2.58219165638208,2.58219165638208,22.106,0.138,0.242
BELOYANA SA,1041,U1,2022,1966.23066613612,20,CORDOBA,2389.02127454225,559.281509300842,2948.30278490969,1649.97587570737,1072.75999624662,1966.23066613612,4.85217545858443,4.85217545858443,0.828,0.165,0.695
EMBUTIDOS CAMILO RIOS SL,1011,U1,2021,1965.70888248281,16,FUENTE OBEJUNA,709.706776752591,1797.51483736753,2507.22161412013,458.258476968455,1077.3948880841,1965.70888248281,8.15001059646606,8.15001059646606,2.624,0.325,0.612
EMBUTIDOS LA UNION SL,1011,U1,2022,1965.50936649959,21,SALAS,1046.68305733603,1004.96741274269,2051.65047007872,1694.627623374,0.0,1965.50936649959,-4.45026797221482,-4.45026797221482,-0.476,-0.217,-0.41
HORNOS MARTINEZ COSIN SOCIEDAD LIMITADA.,1071,U1,2021,1962.64834727998,21,PATERNA,317.860969097042,784.954634543967,1102.81560364101,345.854635424423,414.054559348512,1962.64834727998,5.61791271908283,5.61791271908283,1.624,0.509,0.286
PATET FORN PASTISSERIA SL,1085,U1,2022,1962.03191192263,28,MOLLERUSSA,813.998214027423,426.97674474768,1240.9749587751,358.512992849767,588.928549753147,1962.03191192263,7.74508018600345,7.74508018600345,2.599,0.624,0.475
FERGOHER SL,1011,U1,2022,1960.27981960926,10,GUIJUELO,1865.3657336519,4051.61969390148,5916.98542755338,3173.46708855656,2315.8734656637,1960.27981960926,27.5445275430661,27.5445275430661,1.148,0.466,1.859
"ANDERSEN, SA",1091,U1,2022,1959.64168380143,17,RUBI,4885.30547859904,859.200135042083,5744.50561364112,4550.84496550118,606.690193725324,1959.64168380143,-601.469050572366,-601.469050572366,-13.164,-10.47,-30.571
HERMANOS ROMAN ALAMINOS SL,1071,U1,2022,1956.65219742375,20,ALCAZAR DE SAN JUAN,443.241565662014,614.650524354053,1057.89209001607,807.191698727107,20.5292989882886,1956.65219742375,40.6924663702428,40.6924663702428,6.504,3.847,2.683
PANESA 2017 SL.,1071,U1,2022,1956.52295756376,23,GRANADILLA DE ABONA,411.869162946117,967.112271667135,1378.98143461325,755.997109819657,230.128897624916,1956.52295756376,384.315399718082,384.315399718082,52.946,27.87,20.458
HERMANOS RUANO SL,1013,U1,2021,1956.1143308022,6,CAMPILLO DE ARENAS,367.454093455982,952.250482311416,1319.7045757674,703.954548963046,133.641490407372,1956.1143308022,6.16666889405251,6.16666889405251,1.236,0.467,0.445
EMBUTIDOS ZAPATERO RAMOS SL,1013,U1,2022,1955.67612983346,10,SANTIBANEZ DE VIDRIALES,585.232206562608,1226.404164498,1811.6363710606,1471.90308072856,151.610291019201,1955.67612983346,51.8780338615417,51.8780338615417,4.672,2.864,3.516
GRUPO ALIMENTARIO EXTREMENO SL.,1013,U1,2021,1955.24842388914,16,MADRID,4368.6097176512,2290.41457429998,6659.02429195118,3511.86295874398,1904.23283282604,1955.24842388914,18.2995137757301,18.2995137757301,0.695,0.275,1.248
ACEITES TORRESUR SL,1041,U1,2022,1955.11309970729,6,BUJALANCE,1008.08232308152,2216.04580261685,3224.12812569837,526.580333713159,534.112839059174,1955.11309970729,3.50380441755056,3.50380441755056,0.887,0.109,0.239
GRUPO DE OLIVA SIGLO XXI SL.,1041,U1,2022,1954.75504757998,11,PALMA DEL RIO,2156.48084880436,3309.0812884025,5465.56213720686,55.8411122521043,3453.49915776054,1954.75504757998,14.9578738973916,14.9578738973916,35.715,0.274,1.02
PANIFICADORA BAZTANESA SA,1071,U1,2020,1950.79934473868,15,BAZTAN,495.07942147783,780.760421649319,1275.83984312715,696.571826062834,364.639514478904,1950.79934473868,-251.045643876326,-251.045643876326,-36.04,-19.677,-12.869
FRIOS OIZ SL,1089,U1,2021,1950.22364262507,9,ZESTOA,1083.08327119431,835.427585473752,1918.51085666807,600.50398080554,693.499187070751,1950.22364262507,30.3776540625572,30.3776540625572,6.36,1.583,1.958
LA BODEGA IBERICA DE ESTEPA SL,1013,U1,2020,1950.12395051137,12,ESTEPA,722.418464026606,301.776505823326,1024.19496984993,39.2175168731391,454.053479283148,1950.12395051137,0.930460314786434,0.930460314786434,3.163,0.091,0.064
DESHIDRATADOS ALBA-MANCHA SOCIEDAD LIMITADA.,1091,U1,2003,1949.55181293413,1,ARGAMASILLA DE ALBA,214.603644476757,881.328176313277,1095.93182205303,147.056449725571,429.486599876983,1949.55181293413,109.166656806412,109.166656806412,144.335,13.281,8.165
PANADERIA GAZPACHITO SL,1071,U1,2022,1949.40322465772,31,ISLA CRISTINA,1086.70940032787,491.785761501092,1578.49516182896,816.126133336473,91.2496874214947,1949.40322465772,121.252597726458,121.252597726458,19.809,7.682,8.293
CONSERVAS REMO SL,1020,U1,2022,1949.30828663727,9,GIJON,1398.84294632794,2514.30181057416,3913.14475690209,3594.99740300738,0.0,1949.30828663727,158.171136459386,158.171136459386,5.935,4.042,10.945
OBRADOR DE GOYA PASTELERIAS SL.,1071,U1,2022,1949.23528856829,35,GETAFE,297.56657014913,634.43139048143,931.99796063056,15.0765864204347,326.681035078359,1949.23528856829,2.54687958803773,2.54687958803773,16.893,0.273,0.131
VIGOGER INDUSTRIAS CARNICAS SL,1013,U1,2021,1948.99208702874,9,BOROX,535.848404957628,848.404364822531,1384.25276978016,240.030046414447,180.187093141007,1948.99208702874,100.319879691625,100.319879691625,55.726,7.247,6.863
PANIFICADORA DEL EO SL,1071,U1,2022,1948.238379624,29,RIBADEO,691.118113473821,687.36474987464,1378.48286334846,626.951904233998,275.140217311025,1948.238379624,101.532538435906,101.532538435906,21.698,7.366,6.983
BIOSTAR SA,1089,U1,2021,1946.92188620875,10,VALMOJADO,303.932544991922,908.275270671558,1212.20781453088,829.952255807376,26.7076439822674,1946.92188620875,26.8565016406775,26.8565016406775,4.315,2.216,1.839
AMARITTA FOOD SL.,1071,U1,2022,1945.76743232013,21,CORDOBA,1774.34107739044,1234.6588339215,3008.99991131194,323.048730521095,1675.93489137855,1945.76743232013,121.990993886185,121.990993886185,44.071,4.054,7.317
AGRICOLA I CAIXA AGRARIA I SECCIO DE CREDIT DE RIUDECANYES S.C.C.L.,1041,U1,2021,1945.20090004156,6,RIUDECANYES,1251.21690340919,6473.77927766111,7724.9961810703,1509.95774474902,309.881301586819,1945.20090004156,21.6816168578625,21.6816168578625,1.518,0.281,1.178
EMBOTITS MAS SA,1013,U1,2021,1944.80514684212,15,BALSARENY,1172.451811993,799.73215777359,1972.18396976659,1092.25162537923,132.05415107646,1944.80514684212,1.76561061930656,1.76561061930656,0.216,0.09,0.121
PASTELERIA ASCASO SL,1071,U1,2022,1944.60842265221,21,HUESCA,1972.89296651962,1217.79066967465,3190.68363619427,1367.90341234835,1099.82913933117,1944.60842265221,69.830993783927,69.830993783927,6.762,2.189,4.756
ACERO VAZQUEZ E HIJOS SL,1011,U1,2021,1943.22007271183,9,MIAJADAS,917.438924565196,387.331070287943,1304.76999485314,454.028146864057,306.678364547324,1943.22007271183,28.84879088552,28.84879088552,6.767,2.211,1.581
CARENZO SA,1073,U1,2020,1942.67801013037,20,BARCELONA,1770.08871471515,32.4930617962301,1802.58177651138,279.635253717095,1522.94652279429,1942.67801013037,169.297626086479,169.297626086479,60.542,9.392,8.715
FABRIPAN DE EXTREMADURA SL,1071,U1,2022,1941.7394726827,19,DON BENITO,837.598551590264,261.76823819474,1099.366789785,629.956557656401,159.085372210747,1941.7394726827,48.0228313432217,48.0228313432217,10.375,4.368,3.366
GOMEZ Y LORENTE SL,1039,U1,2022,1938.90344863939,10,ALMORADI,312.906446653241,1084.387263918,1397.29371057124,506.069277872032,25.7792936574042,1938.90344863939,27.359908771044,27.359908771044,7.191,1.958,1.877
MOLINO DE ACEITE CASCABEL SOCIEDAD LIMITADA.,1041,U1,2020,1937.17774612755,9,LEGANES,3351.00953164006,593.297762400526,3944.30729404059,975.176770395148,880.163931888384,1937.17774612755,260.762920518589,260.762920518589,36.282,6.611,18.264
PAN DE PANES AVIVAL SL.,1071,U1,2022,1936.66467764552,24,AVILA,665.204684264773,226.961587780553,892.166272045326,19.5466942097306,637.517510772747,1936.66467764552,105.828853437986,105.828853437986,723.282,11.862,7.3
CHAMPINONES MEGIAS SOCIEDAD LIMITADA.,1089,U1,2021,1936.55782322724,8,VILLALGORDO DEL JUCAR,677.6400305475,588.240128046298,1265.8801585938,585.122351223922,203.241070465422,1936.55782322724,54.1330734093904,54.1330734093904,12.335,4.276,3.727
COOPERATIVA ALMAZARA SAN GREGORIO,1041,U1,2020,1933.18335384301,2,COZAR,1261.95231859974,1307.33818141828,2569.29050001802,588.986385824954,552.00481566928,1933.18335384301,-18.0614782524347,-18.0614782524347,-3.067,-0.703,-0.934
ESENCIA Y SABOR DE LA DEHESA EXTREMENA S.L.,1013,U1,2020,1932.40711536818,11,SANTA AMALIA,1297.68796575273,1248.97223400427,2546.660199757,1448.72715187823,254.23788134883,1932.40711536818,22.743647423315,22.743647423315,2.093,0.893,1.569
NOCYR SAL,1011,U1,2021,1930.23102730172,11,CASTELLO DE LA PLANA,553.491305031109,1085.14206672921,1638.63337176032,616.297106730867,258.354771873021,1930.23102730172,8.66010999034166,8.66010999034166,1.874,0.528,0.598
GALLETAS ARTESANAS DE MENORCA SL,1071,U1,2022,1930.04518949887,23,ES MERCADAL,325.888796976465,950.042114809191,1275.93091178566,881.935929723722,214.201484792697,1930.04518949887,134.935149281734,134.935149281734,19.074,10.575,8.716
PERRONATURA SL.,1092,U1,2022,1929.8069015738,12,TORREJON DE ARDOZ,486.587027603382,339.752478456837,826.339506060219,177.480074977189,367.795181556284,1929.8069015738,-21.1920945762873,-21.1920945762873,-24.396,-2.565,-2.244
FRUTAS SECAS LA QUELENA SOCIEDAD COOPERATIVA MICRO,1039,U1,2017,1929.79043782367,18,QUEL,55.447025312109,1322.88877418305,1378.33579949516,297.706138889356,0.0,1929.79043782367,25.8594653143358,25.8594653143358,10.858,1.876,1.675
DULCEPAN ISABEL 1990 SL,1071,U1,2022,1929.09489308541,34,ALBACETE,907.972892485499,181.136676670796,1089.1095691563,117.36952496351,424.531330768961,1929.09489308541,23.884767648375,23.884767648375,27.329,2.193,1.663
BOLLERIA Y PASTELERIA SA,1071,U1,2022,1928.1976482639,38,CAMPOS,864.372555930418,276.426013660115,1140.79856959053,77.9082023845792,434.589513267165,1928.1976482639,-29.1651177389264,-29.1651177389264,-49.914,-2.557,-2.017
AGRO FOODS & COMMERCE SL,1041,U1,2022,1927.94516283304,4,MARGALEF,348.694592582518,1421.75910298304,1770.45369556556,827.795009053886,388.254650276077,1927.94516283304,112.915810808349,112.915810808349,13.701,6.378,5.883
PANIFICADORA LA AURORA SA,1071,U1,2022,1927.90882378848,19,TORREJON DE ARDOZ,2991.90071094993,1137.93317139732,4129.83388234725,1689.70925581777,1749.14090459118,1927.90882378848,61.6640735003173,61.6640735003173,3.649,1.493,3.198
AGRICOLA I SECCIO DE CREDIT TERRA ALTA S.C.C.L.,1041,U1,2018,1927.13753259667,5,LA POBLA DE MASSALUCA,3918.74135712831,2571.0704453785,6489.81180250681,529.212843223666,0.0,1927.13753259667,47.576193773942,47.576193773942,10.395,0.733,2.854
NAGUAL ALIMENTACION SL,1089,U1,2021,1926.45527765672,16,BARBERA DEL VALLES,802.169513635254,513.967631661701,1316.13714529696,344.468740384197,469.882659726048,1926.45527765672,45.7249885068655,45.7249885068655,17.488,3.474,3.127
DISTRIBUCIONES AVICOLAS FRANGAR SL.,1011,U1,2021,1925.79038464622,12,JEREZ DE LA FRONTERA,370.050534356832,343.88337856729,713.933912924123,457.85619999125,50.2547101765394,1925.79038464622,59.448444801743,59.448444801743,17.312,8.327,4.116
COOP DEL CAMPO NUESTRA SENORA DEL PILAR DE NOVALLAS,1041,U1,2022,1925.37426342453,2,NOVALLAS,564.652180102658,511.031237349343,1075.683417452,481.277004715067,152.644337891078,1925.37426342453,137.420550075269,137.420550075269,35.692,12.775,8.922
AGROVILLASERRA SL,1041,U1,2022,1924.79314802534,9,PORZUNA,706.653593658084,298.989584522384,1005.64317818047,121.418912584662,323.141108702773,1924.79314802534,55.6498602978647,55.6498602978647,61.111,5.534,3.855
TURRONES Y HELADOS ONZA DE ORO SA,1082,U1,2021,1922.85866007636,18,XIXONA/JIJONA,3150.07087013705,1715.21479845772,4865.28566859477,2165.64163877614,1244.34600629597,1922.85866007636,-110.867876963067,-110.867876963067,-6.826,-2.279,-7.688
ACEITUNAS Y ENCURTIDOS MOLERO SL,1039,U1,2022,1922.18644287201,24,CHESTE,429.488533212554,1775.37026056865,2204.8587937812,866.158107469732,846.992626583099,1922.18644287201,14.4152414077401,14.4152414077401,2.225,0.654,1.003
CANELONS PUBILL SL,1013,U1,2022,1922.02877813565,20,VILANOVA I LA GELTRU,175.008987948787,778.555177028567,953.564164977354,551.472402214158,89.4028810735702,1922.02877813565,-0.439597912486196,-0.439597912486196,0.689,-0.046,0.198
ACEITUNAS QUILES SL,1039,U1,2022,1920.29819913396,9,ALBOX,1124.22987341539,2426.44301358175,3550.67288806375,2337.19460811207,470.636170914412,1920.29819913396,96.6092965200186,96.6092965200186,5.647,2.721,6.873
JOAQUIN LUNA E HIJOS SL,1013,U1,2018,1918.81021820049,15,ZAFRA,787.986305571234,1770.69961891663,2558.68592448786,316.60138443742,1408.75570783082,1918.81021820049,8.31621934059501,8.31621934059501,3.557,0.325,0.587
HNOS BATATO SL,1051,U1,2022,1914.71535076255,10,ALCALA DE GUADAIRA,144.573390229422,445.649328678799,590.22271890822,242.309101137,41.2956603788376,1914.71535076255,8.73308195797205,8.73308195797205,5.621,1.48,0.711
FRUTOS SECOS EL PIBO SL,1039,U1,2022,1913.41958170824,21,BOLLULLOS DE LA MITACION,599.132173757571,148.377822612101,747.509996369672,389.762981942397,16.0969168228924,1913.41958170824,67.5945266449571,67.5945266449571,23.123,9.043,4.71
LA TAHONA-DELICATESSEN SL,1071,U1,2022,1912.92947924339,24,SALAMANCA,588.657761475068,326.237543011141,914.895304486209,406.720271242493,132.538062925827,1912.92947924339,77.3869232166827,77.3869232166827,25.478,8.459,5.417
EMBUTIDOS PIMAR SL,1013,U1,2022,1912.50274345413,13,AGULLENT,204.77037746563,433.749118198377,638.519495664006,158.225490369308,112.864112731153,1912.50274345413,9.22769507206261,9.22769507206261,7.479,1.445,0.619
LA TAHONA DE LA ABUELA LEONOR SL.,1071,U1,2022,1912.00087639692,28,SALAMANCA,1218.83267337871,514.984268372726,1733.81694175143,429.25635583595,996.999199943745,1912.00087639692,9.45072209165692,9.45072209165692,2.936,0.545,0.659
SPICARICE S.L.,1089,U1,2022,1909.50114050626,21,HUARTE/UHARTE,381.848749743551,526.034089747155,907.882839490706,693.79388094402,0.0,1909.50114050626,93.771992557323,93.771992557323,15.743,10.329,5.72
MARFISOL SL,1072,U1,2022,1908.58071847787,13,MURCIA,21.0189108173788,630.199454357862,651.218365175241,113.713509899622,70.7922655061203,1908.58071847787,0.506197451132536,0.506197451132536,0.445,0.078,0.027
ALEMAR SELECCION SL.,1020,U1,2022,1906.85642174717,11,VALLADOLID,41.6343163823545,733.669854740006,775.30417112236,210.805965321827,88.7380056165695,1906.85642174717,65.4190903287053,65.4190903287053,41.111,8.438,4.545
MATADERO GENERAL FRIGORIFICO ORENSANO SL,1011,U1,2021,1906.3555976263,13,OURENSE,994.314646126485,1131.53284300082,2125.8474891273,1844.76592550669,0.0,1906.3555976263,354.650069632101,354.650069632101,25.771,16.683,24.939
THINKING FOODS SL,1073,U1,2021,1905.92460923131,14,MIRAMAR,618.488212633681,1329.46223321829,1947.95044585197,1159.68594547348,448.046137124133,1905.92460923131,160.889724516392,160.889724516392,13.874,8.259,8.442
ALIMENTS Q ALIS SA,1091,U1,2022,1902.87857095369,8,SANT JOAN DE VILATORRADA,501.714000183642,437.043620031714,938.757620215356,258.004827228379,334.761346416922,1902.87857095369,143.972072369327,143.972072369327,74.403,15.336,10.088
NATURAL CAROB S.L.,1039,U1,2020,1901.16157180372,2,PUERTO LUMBRERAS,1061.11060796025,863.08002229284,1924.19063025309,791.38611990295,101.168263096541,1901.16157180372,175.534591424704,175.534591424704,29.867,9.123,12.433
EMBOTITS MEDRAN SL,1013,U1,2022,1898.82173846811,9,SABADELL,360.818116997796,1036.53393656545,1397.35205356325,1064.02232791085,4.9262390604496,1898.82173846811,24.9489352898002,24.9489352898002,3.126,1.785,1.752
FORN DES PLA DE NA TESA SL,1071,U1,2022,1895.49672015681,29,MARRATXI,186.558468519485,257.85082092827,444.409289447755,301.132820200086,15.0419219370663,1895.49672015681,39.619637940973,39.619637940973,17.888,8.915,2.842
"ASSECADOR COMUNITARI DE L'EMPORDA, SA",1091,U1,2019,1894.50768756001,2,FORTIA,321.663370312672,264.465069577875,586.128439890547,368.248201551533,124.160122002897,1894.50768756001,9.24702446235657,9.24702446235657,3.083,1.578,0.599
NC MILREP PACKING SL,1039,U1,2021,1894.36320650876,3,MADRID,1059.12069925125,340.720297732616,1399.84099698386,250.09084433763,529.317231306625,1894.36320650876,5.51756433184147,5.51756433184147,2.942,0.394,0.388
SAN ISIDRO S.COOP. DE C-LM.,1041,U1,2001,1892.78095132976,2,YEPES,635.859182419543,324.839028797082,960.698211216625,390.332465327821,186.643235480292,1892.78095132976,-13.8837739553618,3.07338557892084,-3.488,0.32,-0.719
HELADOS LA QUINDIANITA SL,1052,U1,2022,1890.53858017227,8,ALGETE,680.241283870393,217.261825374383,897.503109244776,688.878926506156,166.278775143439,1890.53858017227,63.9355240359026,63.9355240359026,12.375,7.124,4.509
SOLUCIALI SL.,1089,U1,2022,1890.10474083042,19,SANT QUIRZE DEL VALLES,529.556427897179,351.838106592298,881.394534489477,245.903701402354,215.910241168857,1890.10474083042,39.7866674208343,39.7866674208343,21.818,4.514,2.838
PANIFICADORA EL CANELO SOCIEDAD LIMITADA.,1071,U1,2021,1889.43901147799,23,LAS PALMAS DE GRAN CANARIA,541.562475442815,1013.83207899084,1555.39455443366,316.959928922439,663.222662889647,1889.43901147799,73.1041840568376,73.1041840568376,29.277,4.7,4.911
CAVIAROLI SL,1089,U1,2021,1887.43856751094,11,ESPARREGUERA,2094.09900360861,1931.02709807982,4025.12610168843,1852.70603128817,1478.56959601815,1887.43856751094,256.972161373687,256.972161373687,13.563,6.384,13.314
HE BO PAN SL,1072,U1,2022,1885.96372164723,14,CARTAGENA,653.596956696022,911.848136408204,1565.44509310423,1105.63883208175,49.7091251341581,1885.96372164723,71.9587637690485,71.9587637690485,6.508,4.597,3.815
EL HORNO DEL ALBERGUE SL,1071,U1,2022,1885.57712199672,11,MURCIA,241.542269434917,574.883823675638,816.426093110555,334.650453134728,239.469407991451,1885.57712199672,69.1945325372934,69.1945325372934,27.046,8.475,4.8
REYES RIVERO SL,1041,U1,2022,1884.62472331567,4,GOJAR,751.248502237982,969.378763581699,1720.62726581968,946.268229835856,77.2402977850318,1884.62472331567,159.910450910884,159.910450910884,22.532,9.294,11.313
ARCHAGAR SL,1013,U1,2022,1880.28250080501,14,IRUN,442.285391218775,417.16072299729,859.446114216065,292.920420114297,176.0275371301,1880.28250080501,-100.508901575035,-100.508901575035,-42.891,-11.695,-6.682
MARIA DIET SL,1086,U1,2022,1879.4805033178,17,SEGORBE,3150.00241178263,1538.93582942305,4688.93824120569,1144.56587364503,2550.94680920233,1879.4805033178,-42.2162850611329,-42.2162850611329,-4.42,-0.9,-2.692
NATURA ARCHIPIELAGO SL,1013,U1,2022,1878.5392612674,5,SANTA CRUZ DE TENERIFE,150.087762913692,4180.28005972578,4330.36782263947,568.523381613302,2337.83039740102,1878.5392612674,144.580621773952,144.580621773952,38.831,3.339,11.752
FACTORY PIPO FOODS SRL.,1039,U1,2019,1876.71499302264,17,CEUTI,812.501415672803,576.817473748512,1389.31888942132,636.236675830705,417.939907994187,1876.71499302264,45.0537601549184,45.0537601549184,9.11,3.243,3.089
ALBA VALLES SL,1011,U1,2021,1876.69880968144,14,VILANOVA I LA GELTRU,242.989055325723,1078.27568869121,1321.26474401693,110.410442350888,538.345754657578,1876.69880968144,-65.6319452689648,-65.6319452689648,-77.582,-4.967,-4.564
SAET SWEETS SL,1082,U1,2021,1876.22130539181,12,SANT JAUME DELS DOMENYS,687.196243707705,1477.32657850671,2164.52282221441,980.452411183333,631.572022711515,1876.22130539181,-134.512052307701,-134.512052307701,-18.287,-6.214,-9.556
FORMATGES DE TONA SL,1051,U1,2000,1875.23281019425,23,TONA,1443.21986860013,577.45115729177,2020.6710258919,225.548757167459,928.265801904917,1875.23281019425,-301.365037145376,-211.623811722994,-133.614,-10.473,-16.071
RUALCO SA,1013,U1,2020,1874.33838367547,11,SOCUELLAMOS,1171.9265220848,1077.95858317349,2249.88510525829,540.206709931993,1246.28731619512,1874.33838367547,56.0707072584033,56.0707072584033,13.839,2.492,3.989
ENEDITA SL,1071,U1,2022,1873.64949990945,33,SANTA LUCIA DE TIRAJANA,779.534422018737,493.277784861237,1272.81220687997,646.884046166796,131.957694146281,1873.64949990945,82.9877960528511,82.9877960528511,14.562,6.52,5.028
HARINAS SUNER SA,1061,U1,2022,1871.24036097932,8,LA BISBAL D'EMPORDA,32.4332425669193,816.324883485114,848.758126052034,529.874989166337,50.1506546583176,1871.24036097932,-47.282920612222,-47.282920612222,-8.923,-5.571,-2.527
